Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,ME1 OP5,ME1 OP6,ME1 OP7,ME1 OP8,ME1 OP9,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME2 OP6,ME2 OP7,ME2 OP8,ME2 OP9,ME2 OP10,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME3 OP6,ME3 OP7,ME3 OP8,ME3 OP9,ME3 OP10,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,ME4 OP6,ME4 OP7,ME4 OP8,ME4 OP9,ME4 OP10,ME5 OP1,ME5 OP2,ME5 OP3,ME5 OP4,ME5 OP5,ME5 OP6,ME5 OP7,ME5 OP8,ME5 OP9,ME5 OP10,ME6 OP1,ME6 OP2,ME6 OP3,ME6 OP4,ME6 OP5,ME6 OP6,ME6 OP7,ME6 OP8,ME6 OP9,ME6 OP10,ME7 OP1,ME7 OP2,ME7 OP3,ME7 OP4,ME7 OP5,ME7 OP6,ME7 OP7,ME7 OP8,ME7 OP9,ME7 OP10,ME8 OP1,ME8 OP2,ME8 OP3,ME8 OP4,ME8 OP5,ME8 OP6,ME8 OP7,ME8 OP8,ME8 OP9,ME8 OP10,ME9 OP1,ME9 OP2,ME9 OP3,ME9 OP4,ME9 OP5,ME9 OP6,ME9 OP7,ME9 OP8,ME9 OP9,ME9 OP10,BIG LoOP,ME10 OP2,ME10 OP3,ME10 OP4,ME10 OP5,ME10 OP6,ME10 OP7,ME10 OP8,ME10 OP9,BIG HiOP
196307,  -1.0675,  -0.5594,  -1.4583,  -0.3137,   3.2357,   1.5317,  -3.4476,  -0.7496,  -3.1830,   0.6021,   0.2115,  -0.5805,   5.6789,   3.0056,  -1.3983,   6.1191,  -0.0434,  -0.8042,  -3.1991,  -1.8828,  -3.4086,  -2.5013,  -1.6828,  -1.4504,  -0.6160,  -0.5858,  -3.6947,  -0.8805,  -1.0671,   2.2986,  -1.1833,   3.6928,  -1.8249,  -2.7353,  -0.1362,  -0.6620,   0.2251,   6.5720,   0.9701,   0.1668,  -0.2444,  -0.9631,  -0.5653,  -0.3470,  -1.0241,   0.8768,  -2.2989,  -2.8455,   1.5841,  -2.3725,  -0.7320,  -3.3653,  -7.0668,  -4.2773,   2.1619,  -1.3919,  -1.6947,  -3.1312,  -2.4428,   0.3956,  -2.9310,  -2.8918,   1.2041,  -0.1060,  -3.6157,  -3.3210,  -3.3511,   0.7291,   0.5059,  -0.6043,  -3.4051,  -3.8630,  -1.4426,  -1.8258,  -1.6615,  -1.3491,  -1.5953,  -0.9861,   0.3411,  -0.4326,   5.4348,  -1.1592,  -2.4346,   0.2122,   0.1567,   0.3995,  -1.0702,   0.8319,  -0.4922,   0.4304,  -0.6313,  -0.3037,  -1.1317,   2.3060,  -1.3186,   2.1016,  -0.2742,   0.6116,  -0.5806,   1.7869
196308,   1.5264,   2.3844,   3.4626,   2.9996,   2.8556,  -0.8821,   4.5333,  -1.9797,  -0.4576,   3.9894,   1.6722,   2.8832,   4.0808,   4.4782,   0.6720,   5.8201,  -2.1481,   5.2887,   2.5987,   5.3657,   4.7012,   6.5226,   7.5699,   4.7836,   5.8585,   0.4529,   1.6980,  -0.4535,   6.9721,   1.1310,   7.1310,   7.2716,   6.7017,   3.9547,   2.8985,   4.6902,   6.5648,  10.8477,   1.3523,   6.0021,   6.3250,   4.7803,   3.2863,  10.6388,   5.6400,   2.6172,   2.2500,   7.3695,  10.4163,   6.3323,   8.9797,   6.0988,   1.1508,   5.3609,   1.9546,   3.5672,   2.9434,   7.0218,   5.7872,   7.4097,   6.4862,   9.0884,   3.9541,   5.1751,   6.0125,   6.8774,   5.2880,   2.3276,   4.4486,  10.4733,   4.4899,   0.5100,   4.8737,   7.7231,   6.3108,   6.4314,   5.0332,   4.2350,   7.0519,   5.9614,   3.0928,   8.2684,   5.5252,   7.3624,   4.5917,   4.0024,   6.5828,   7.4398,   4.2038,   7.8740,   6.1048,   6.0026,   5.9795,   4.8033,   7.6426,   5.0121,   5.5215,   6.8390,   7.8806,   6.5053
196309,   0.3480,   1.2820,  -0.5992,  -2.4559,   0.3113,   0.1548,  -0.7394,   6.8532,   1.3184,  -0.2031,  -2.4486,   1.0167,  -0.8225,  -0.8023,  -2.1046,  -4.3641,   2.1618,   5.0339,   0.8978,  -3.5078,  -0.6651,  -1.6325,  -0.5959,  -5.0680,  -0.6189,   5.4778,   1.5607,  -5.5091,  -5.3061,  -2.2712,  -1.2530,  -3.0480,  -2.0173,  -0.0008,   1.3486,  -1.6950,  -3.9152,   0.9876,  -4.4381,  -4.7180,  -3.2042,   2.2050,   0.0402,  -2.5229,  -1.3747,  -2.1208,  -0.3458,  -5.3682,  -1.3542,  -5.9134,  -1.0831,  -2.2979,  -2.1811,  -1.5721,  -1.4037,  -2.0624,   1.1389,  -0.6118,  -2.1812,  -4.8810,  -2.9482,  -2.5330,  -2.9478,  -1.6100,  -6.1617,  -3.7483,  -4.5109,  -0.7289,  -2.7846,  -2.5371,   0.4358,  -2.6037,   0.2232,   0.2338,  -0.7736,  -2.1556,  -3.1972,  -2.1182,  -0.7332,  -4.3699,  -8.5000,  -1.3250,  -1.7015,  -1.5540,  -1.0864,  -0.4739,  -1.5245,  -2.7594,  -4.7814,  -2.2408,  -5.0538,  -1.5680,  -0.6130,   0.1822,   0.6101,  -2.3263,  -2.4596,  -2.9077,  -2.7781,  -1.5251
196310,   2.0967,   0.0755,  -2.2764,   1.2029,  -1.0724,  -1.6580,   9.0908,   0.2589,   5.4136,  -0.3983,   0.3408,  -1.1418,   0.6184,  -1.0224,   4.7192,   0.2873,   4.1076,   0.4044,  -2.2500,   0.1512,   3.9690,   1.2885,   1.9588,   4.0344,   6.1447,  -1.2345,  -0.1584,   2.3608,   6.7291,   2.5947,   5.1017,   2.3279,   2.5950,   3.9925,  -1.2926,   0.6236,   0.4694,  -5.1981,   3.9904,   6.1920,   1.0691,  -1.3831,   2.9907,   0.7876,   3.9539,  -0.2201,   0.8496,   1.0977,   0.1653,  -0.3016,   1.6443,   6.4883,   2.8767,   2.5020,   0.0190,   8.6780,   7.4190,   0.3720,   0.1546,   3.3087,   0.7108,   3.8156,   2.2477,   0.0829,   7.8651,   3.5601,  -1.7264,  -0.9216,   5.3781,   4.7241,   5.7694,  -0.1840,   1.3402,   0.7369,   0.4718,   1.0392,  -0.6858,  -0.4957,   0.0497,   5.6373, -10.9290,   2.0588,   0.7968,   2.0218,   1.9602,  -1.6823,   2.7557,   2.7691,   4.1387,   0.9169,  -1.7175,   1.1806,   1.4567,  -1.6133,   2.5771,   1.7709,   0.4354,   6.4280,   4.0514,   4.2210
196311,  -5.6129,  -2.3025,  -0.5410,   3.4172,  -1.3691,  -1.4025,  -1.9569,   1.4471,  -6.1679,  -4.6941,   0.5084,  -0.2007,  -3.6739,  -4.1986,  -2.6387,  -7.3149,  -2.9141,  -2.1174,  -1.4351,  -2.3017,   2.5027,  -3.2977,  -0.4169,  -0.3018,  -3.1739,  12.8059,   0.1586,  -1.3616,   2.8696,  -4.3377,  -3.1503,  -1.2130,   0.9268,  -1.2047,  -2.1818,   0.0784,  -0.5944,  -2.6445,  -1.7696,  -1.8091,   0.0786,  -1.2820,  -0.9433,   1.6699,  -1.6352,   0.5674,  -2.2305,  -4.0960,   0.2548,  -3.8064,  -2.0175,  -1.6323,  -1.2164,  -0.9671,  -3.2666,  -2.8626,  -4.9202,  -2.3425,  -2.0022,  -5.1509,  -0.5509,   2.9121,   0.2142,   0.0901,  -2.5729,  -2.2108,   0.1459,  -1.4059,   0.1494,   2.0969,  -3.4713,   0.3951,  -1.4649,  -2.6529,  -0.1316,   1.6809,   0.1595,  -0.6362,   1.3665,  -0.2922,  22.6994,  -1.1535,  -1.5779,  -1.9577,  -1.2591,  -0.3709,  -0.8858,  -0.3492,   1.3356,  -0.4816,   1.3389,   0.5926,  -2.6250,  -1.2493,  -1.5163,  -0.6988,  -0.8418,   0.9995,  -0.3154,  -1.7362
196312,  -4.3882,  -1.8813,  -3.7619,  -0.4705,  -1.7040,  -1.7998,   1.0419,  -2.9858,   1.9722,  -2.4835,  -0.0774,   2.3506,  -2.1741,   1.3322,   0.3806,  -0.3649,  -1.9318,  -1.6130,  -3.9663,  -2.8497,   1.0859,  -1.8340,  -2.3711,   0.1773,  -1.7406,   9.2535,  -2.8299,  -1.1559,  -2.4088,   3.5561,  -1.4091,   2.5914,   2.6337,  -2.0109,  -2.2080,   1.2936,   0.0509,   1.9141,  -2.9116,  -0.6682,  -0.5213,   2.1135,   1.7497,   2.9390,   4.6890,  -0.3355,  -0.2005,   0.6661,   8.5542,   3.1277,   0.6661,   3.8087,   0.7262,   2.0924,  -0.2320,  -3.4202,  -0.0321,  -2.2965,   2.1499,   1.1907,   1.0239,   3.8197,   2.0083,   1.6190,  -3.1659,   2.6752,   2.1061,   2.2047,  -0.2890,   1.9714,   3.7547,   5.6084,  -1.0404,   3.7513,  -0.8638,   2.2025,   1.8082,   1.0784,  -0.6623,  -2.6779,  10.0000,   1.8289,   2.7066,   1.7142,   1.5279,   2.9080,   1.6830,   1.0871,   0.5158,  -1.8761,   2.9161,  -1.6408,   4.7236,   0.9018,   1.4933,   2.6543,   3.0799,   4.2682,   3.3275,   1.5788
196401,   9.2382,   5.4033,   5.4626,   6.6305,   2.7600,   5.8896,  17.4420,   2.5555,   2.6598,   8.4407,   0.5626,   5.6369,  -2.1334,   7.0180,   5.0233,  -2.2541,  11.3240,   3.6573,   1.4591,   3.2699,   0.6900,   2.2251,   2.4437,   2.3245,   1.5627,   2.3060,   9.0481,   2.1001,   3.6052,  -1.1408,  -1.2331,   3.5702,   1.0430,   5.4276,  -0.6537,   5.3913,   3.3992,  -5.0350,   1.0527,   2.0602,   1.5496,   7.8355,  -1.5613,   0.0819,   0.9207,   5.2053,   1.9501,   5.0101,  12.4591,  -2.4518,   2.1273,   0.5177,   0.7704,   3.7044,   2.0334,  -3.1991,   3.1323,  -3.0380,   2.4942,   2.7565,   2.7567,   1.0246,   0.8438,   2.6596,   2.2930,  -1.2554,  -0.5983,   1.8634,  -0.8481,   1.2288,   2.7594,   2.8793,  -0.3676,   1.8055,   2.2135,   2.0023,   0.6352,   0.7056,   0.5344,   0.9675,   4.0909,   1.9120,   1.8788,   3.3603,   0.4185,   0.6896,   0.7087,  -0.1961,   1.5446,   1.5436,   0.1981,   0.6185,   3.8516,   3.8272,   0.0174,   0.9221,   0.5157,   2.6348,   1.7065,   3.7426
196402,   4.6113,   3.5765,   3.5044,   1.5885,   1.5679,  -2.9134,  -1.2047,   1.6858,   4.4918,  -1.5278,   3.7526,   1.4808,  -2.4735,   0.8855,  -0.1369,   0.5299,   3.1910,   0.1166,   1.1557,   5.4100,   3.0557,   1.5094,   0.2796,   3.9562,   2.8439,  -4.4226,  -7.1418,   0.4415,  10.6866,   5.8322,   3.2061,   5.1249,   0.5299,   1.4080,   2.9229,  -0.1095,   1.8114,  -1.4584,   5.5290,   0.7056,   3.5491,   2.2755,   4.5171,   5.0476,   1.7767,  -0.6560,   0.4720,   3.5584,   1.5413,   2.0218,   4.2152,   2.9605,   1.4578,   0.9743,   3.7912,   0.7560,   3.0303,  -1.2378,   2.8412,   1.8302,   2.0398,   2.9327,   1.2569,   1.6664,   0.4462,   3.8095,   2.5165,   0.2143,   1.9887,   5.7992,  -0.4987,   1.4034,   4.3733,   0.8254,   2.9707,   6.2235,   2.2219,   2.4239,   3.0442,   2.0890,   3.0568,   0.7415,   3.2884,   2.6741,   2.8563,   0.3507,   1.9898,   2.0218,  -0.4001,   6.5174,   6.5970,   3.8443,   2.3327,   1.4755,   2.8035,   1.6502,   1.2611,   0.4013,   2.6437,   1.9968
196403,   2.7533,  -0.0055,   3.2589,   2.4548,   6.3158,   4.2601,   7.5483,  -3.1901,   1.0530,   3.3661,   2.1135,   5.4481,  -0.2813,   2.2874,  -0.1322,   0.3919,  -2.8257,   5.1579,  -0.6270,   1.9130,   7.4553,   4.7148,   5.6707,   5.4099,   2.9902,   0.6083,   6.1665,   3.7517,   5.9174,  -0.7854,   4.2877,   2.4128,   6.2386,   6.4206,   4.3007,   2.9494,   1.1741,   4.4367,   1.0717,   6.8103,  10.4833,   9.0903,   5.2939,  -0.1905,   5.1131,   9.9419,   2.6191,   1.0308,  -2.9386,   4.2096,   6.6606,   7.7881,   3.4590,   6.1314,  -2.4445,   0.4807,   7.7492,   1.5010,   2.7350,  -0.7456,   0.6435,   7.8447,   4.4981,   1.9465,   9.5253,   2.0064,   1.0990,  -0.2108,   4.0958,  -3.1618,   8.5313,   2.2992,   5.0780,   2.1098,   2.4974,   4.0773,   1.5673,   3.8665,   1.9919,   5.2438,  -1.7797,   6.5507,   5.4791,   0.5733,   3.1725,   0.4098,   0.4296,   2.0799,   2.8725,   0.6862,  -1.3174,   2.2317,   4.1513,   3.3711,   0.9781,   0.2105,   2.5745,  -0.1019,   2.5134,   0.7580
196404,   0.7851,   1.1460,   1.7018,   2.2514,  -4.1085,   1.9050,  -3.7096,   1.6486,  -0.4925,   0.9315,   0.2936,  -2.2956,  -0.3208,   0.2342,   1.7913,   2.0224,   2.5488,   7.1118,  -1.1862,  -1.3977,  -0.2277,  -2.9979,  -3.8048,  -1.7282,  -0.0140,  -5.9120,  -0.7500,  -0.4230,   0.2939,  -4.3131,  -1.8407,   4.8858,  -0.3853,   3.8407,  -3.3900,   0.8251,  -2.0097,  -5.7466,  -0.5649,  -0.8442,  -4.8109,  -1.6275,  -0.4232,   0.0318,   1.1533,  -5.3882,  -3.6531,  -2.4247,  -2.9353,  -3.0277,  -0.1523,  -1.0221,  -2.5516,   1.8151,   2.0054,   3.8334,  -7.7515,  -2.4427,  -1.5587,   0.8160,   0.6374,  11.9763,   2.4275,  -0.6909,  -0.7836,  -0.2206,  -2.0200,   2.7069,  -4.2009,  -6.8300,  -1.6269,   0.1185,   1.8214,  -1.1291,  -0.5881,  -1.3304,   0.5231,  -1.5715,   1.1033,  -4.9868, -10.3896,  -4.5942,  -0.2563,  -0.0668,  -0.7530,   0.9985,   0.3888,  -0.6058,  -1.3793,   2.9721,   4.7938,   4.0573,   0.9795,   2.7537,   1.5513,  -1.1974,   1.5130,  -1.8640,   0.3776,   0.7062
