Date,Mom   
196307,   1.00
196308,   1.03
196309,   0.16
196310,   3.14
196311,  -0.75
196312,   1.70
196401,   1.06
196402,   0.24
196403,   0.72
196404,  -0.60
196405,   2.54
196406,   0.45
196407,  -0.37
196408,  -0.19
196409,  -0.39
196410,   0.08
196411,   1.08
196412,  -0.69
196501,  -1.28
196502,   0.30
196503,   0.10
196504,   2.54
196505,   0.54
196506,  -3.12
196507,   4.10
196508,   2.58
196509,   3.36
196510,   3.45
196511,   4.42
196512,   0.09
196601,   5.41
196602,   4.58
196603,   1.34
196604,   6.18
196605,  -4.69
196606,   3.28
196607,  -1.39
196608,  -2.11
196609,  -1.73
196610,  -5.13
196611,   5.73
196612,   1.07
196701,  -6.75
196702,   3.56
196703,   1.42
196704,   0.64
196705,   0.67
196706,   6.03
196707,  -1.07
196708,  -1.41
196709,   2.55
196710,   3.66
196711,   1.29
196712,   3.23
196801,  -4.64
196802,  -3.41
196803,   3.18
196804,   5.15
196805,   3.73
196806,  -1.92
196807,  -0.84
196808,   1.88
196809,  -0.67
196810,  -1.52
196811,   1.73
196812,   0.11
196901,  -0.15
196902,  -2.46
196903,   3.95
196904,   1.17
196905,   1.68
196906,  -2.22
196907,   1.64
196908,   2.13
196909,   2.53
196910,  -4.32
196911,   3.60
196912,   5.05
197001,   0.63
197002,   0.12
197003,  -0.29
197004,  -0.73
197005,  -2.73
197006,   5.78
197007,  -2.94
197008,  -6.50
197009,  -8.92
197010,   9.61
197011,   2.89
197012,  -2.19
197101,  -6.71
197102,   0.81
197103,  -1.21
197104,   1.32
197105,   0.89
197106,   2.72
197107,  -2.37
197108,   3.51
197109,   2.09
197110,   0.46
197111,   1.48
197112,  -0.68
197201,   0.24
197202,   2.70
197203,   2.91
197204,   2.90
197205,   3.19
197206,   1.93
197207,   2.75
197208,  -5.34
197209,   1.75
197210,   0.75
197211,  -5.14
197212,   4.98
197301,   3.71
197302,   2.12
197303,   3.62
197304,   6.40
197305,   7.09
197306,   4.31
197307, -11.69
197308,   3.42
197309,  -7.03
197310,   6.75
197311,   8.63
197312,  10.39
197401,  -8.82
197402,   0.14
197403,  -0.99
197404,   2.00
197405,  -0.26
197406,   2.37
197407,   3.01
197408,   3.00
197409,   4.32
197410,  -0.50
197411,   2.17
197412,   2.95
197501, -13.89
197502,  -0.55
197503,  -1.99
197504,   1.34
197505,  -0.47
197506,   0.06
197507,   0.42
197508,  -0.13
197509,   0.32
197510,  -0.14
197511,  -0.45
197512,  -0.12
197601,   4.46
197602,   0.36
197603,   0.19
197604,   0.50
197605,  -1.10
197606,  -0.42
197607,  -0.12
197608,  -0.85
197609,   0.24
197610,  -0.48
197611,   2.90
197612,   0.77
197701,   3.98
197702,   0.35
197703,   0.49
197704,   4.22
197705,   2.01
197706,   1.77
197707,   0.31
197708,  -1.78
197709,   2.06
197710,  -0.13
197711,   2.19
197712,   1.56
197801,  -0.72
197802,   1.90
197803,   1.37
197804,   0.85
197805,   2.85
197806,   2.78
197807,   4.22
197808,   2.82
197809,  -3.11
197810,  -8.39
197811,   5.52
197812,   3.05
197901,  -1.24
197902,  -1.06
197903,   2.88
197904,   0.81
197905,  -0.20
197906,   0.82
197907,  -1.09
197908,  -0.23
197909,   5.34
197910,   2.12
197911,   7.96
197912,   4.78
198001,   7.51
198002,   7.88
198003,  -9.59
